Time [s],Channel 1,Channel 2,Channel 4
6.071749029,1,1,0
6.072534000,1,1,1
6.072534250,1,1,0
6.072534750,1,1,1
6.072535000,1,1,0
6.072535500,1,1,1
6.072535750,1,1,0
6.072536125,1,1,1
6.072536375,1,1,0
6.072537125,1,1,1
6.072537375,1,1,0
6.072537750,1,1,1
6.072538000,1,1,0
6.072538500,1,1,1
6.072538750,1,1,0
6.072539250,0,1,1
6.072539500,0,1,0
6.072540750,0,1,1
6.072541000,0,1,0
6.072541375,0,1,1
6.072541625,1,1,0
6.072542125,1,1,1
6.072542375,0,1,0
6.072542750,0,1,1
6.072543000,0,1,0
6.072543750,0,1,1
6.072544000,0,1,0
6.072544500,0,1,1
6.072544750,0,1,0
6.072545250,0,1,1
6.072545500,0,1,0
6.072545875,0,1,1
6.072546125,0,1,0
6.072547375,0,1,1
6.072547625,1,1,0
6.072548000,1,1,1
6.072548250,0,1,0
6.072548750,0,1,1
6.072549000,0,1,0
6.072549500,0,1,1
6.072549750,0,1,0
6.072550500,0,1,1
6.072550750,0,1,0
6.072551125,0,1,1
6.072551375,0,1,0
6.072551875,0,1,1
6.072552125,0,1,0
6.072552500,0,1,1
6.072552750,0,1,0
6.072554000,0,1,1
6.072554250,0,1,0
6.072554750,0,1,1
6.072555000,0,1,0
6.072555500,0,1,1
6.072555750,1,1,0
6.072556125,1,1,1
6.072556375,0,1,0
6.072557125,0,1,1
6.072557375,1,1,0
6.072557750,1,1,1
6.072558000,1,1,0
6.072558500,1,1,1
6.072558750,0,1,0
6.072559250,0,1,1
6.072559500,0,1,0
6.072936000,1,1,0
6.073528125,1,1,1
6.073528375,1,1,0
6.073528875,1,1,1
6.073529125,1,1,0
6.073529625,1,1,1
6.073529875,1,1,0
6.073530250,1,1,1
6.073530500,1,1,0
6.073531250,1,1,1
6.073531500,1,1,0
6.073531875,1,1,1
6.073532125,1,1,0
6.073532625,1,1,1
6.073532875,1,1,0
6.073533375,1,1,1
6.073533625,1,1,0
6.073534875,1,1,1
6.073535125,1,1,0
6.073535500,1,1,1
6.073535750,1,1,0
6.073536250,1,1,1
6.073536500,1,1,0
6.073536875,1,1,1
6.073537125,1,1,0
6.073537875,1,1,1
6.073538125,1,1,0
6.073538625,1,1,1
6.073538875,1,1,0
6.073539375,1,1,1
6.073539625,1,1,0
6.073540000,1,1,1
6.073540250,1,1,0
6.073541500,1,1,1
6.073541750,1,1,0
6.073542125,1,1,1
6.073542375,1,1,0
6.073542875,1,1,1
6.073543125,1,1,0
6.073543625,1,1,1
6.073543875,1,1,0
6.073544625,1,1,1
6.073544875,1,1,0
6.073545250,1,1,1
6.073545500,1,1,0
6.073546000,1,1,1
6.073546250,1,1,0
6.073546625,1,1,1
6.073546875,1,1,0
6.073548125,1,1,1
6.073548375,1,1,0
6.073548875,1,1,1
6.073549125,1,1,0
6.073549625,1,1,1
6.073549875,1,1,0
6.073550250,1,1,1
6.073550500,1,1,0
6.073551250,1,1,1
6.073551500,1,1,0
6.073551875,1,1,1
6.073552125,1,1,0
6.073552625,1,1,1
6.073552875,1,1,0
6.073553375,0,1,1
6.073553625,0,1,0
6.073554875,0,1,1
6.073555125,0,1,0
6.073555500,0,1,1
6.073555750,0,1,0
6.073556250,0,1,1
6.073556500,0,1,0
6.073556875,0,1,1
6.073557125,0,1,0
6.073557875,0,1,1
6.073558125,0,1,0
6.073558625,0,1,1
6.073558875,0,1,0
6.073559375,0,1,1
6.073559625,0,1,0
6.073560000,0,1,1
6.073560250,0,1,0
6.073561500,0,1,1
6.073561750,0,1,0
6.073562125,0,1,1
6.073562375,0,1,0
6.073562875,0,1,1
6.073563125,0,1,0
6.073563625,0,1,1
6.073563875,0,1,0
6.073564625,0,1,1
6.073564875,0,1,0
6.073565250,0,1,1
6.073565500,0,1,0
6.073566000,0,1,1
6.073566250,1,1,0
6.073566625,1,1,1
6.073566875,0,1,0
6.073568125,0,1,1
6.073568375,0,1,0
6.073568875,0,1,1
6.073569125,0,1,0
6.073569625,0,1,1
6.073569875,0,1,0
6.073570250,0,1,1
6.073570500,0,1,0
6.073571250,0,1,1
6.073571500,0,1,0
6.073571875,0,1,1
6.073572125,1,1,0
6.073572625,1,1,1
6.073572875,0,1,0
6.073573375,0,1,1
6.073573625,0,1,0
6.073574875,0,1,1
6.073575125,0,1,0
6.073575500,0,1,1
6.073575750,0,1,0
6.073576250,0,1,1
6.073576500,0,1,0
6.073576875,0,1,1
6.073577125,0,1,0
6.073577875,0,1,1
6.073578125,0,1,0
6.073578625,0,1,1
6.073578875,1,1,0
6.073579375,1,1,1
6.073579625,1,1,0
6.073580000,1,1,1
6.073580250,0,1,0
6.073581500,0,1,1
6.073581750,0,1,0
6.073582125,0,1,1
6.073582375,0,1,0
6.073582875,0,1,1
6.073583125,0,1,0
6.073583625,0,1,1
6.073583875,0,1,0
6.073584625,0,1,1
6.073584875,1,1,0
6.073585250,1,1,1
6.073585500,0,1,0
6.073586000,0,1,1
6.073586250,0,1,0
6.073586625,0,1,1
